rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/terms/scientificName-2009-09-21,2008-11-19,2009-09-21,scientificName,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.","Examples: ""Coleoptera"" (order), ""Vespertilionidae"" (family), ""Manis"" (genus), ""Ctenomys sociabilis"" (genus + specificEpithet), ""Ambystoma tigrinum diaboli"" (genus + specificEpithet + infraspecificEpithet), ""Roptrocerus typographi (Györfi, 1952)"" (genus + specificEpithet + scientificNameAuthorship), ""Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell"" (genus + specificEpithet + taxonRank + infraspecificEpithet + scientificNameAuthorship)",Scientific Name,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/FullScientificNameString,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/scientificName-2009-04-24,,
http://rs.tdwg.org/dwc/terms/scientificNameAuthorship-2009-04-24,2008-11-19,2009-04-24,scientificNameAuthorship,The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode.,"Example: ""(Torr.) J.T. Howell"", ""(Martinovský) Tzvelev"", ""(Györfi, 1952)""",Scientific Name Authorship,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/ParentheticalAuthorTeamAndYear + DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/AuthorTeamAndYear} or {DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeamParenthesis + DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeam} or {DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamOriginalAndYear + [= or] DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamParenthesisAndYear},http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/dwcore/AuthorYearOfScientificName-2007-04-17,,
http://rs.tdwg.org/dwc/terms/scientificNameID-2009-08-24,2008-11-19,2009-08-24,scientificNameID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,"Example: ""urn:lsid:ipni.org:names:37829-1:1.3""",Scientific Name ID,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/identifier,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/TaxonNameID-2009-04-24,,
http://rs.tdwg.org/dwc/terms/sex-2009-04-24,2008-11-19,2009-04-24,sex,The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,"Examples: ""female"", ""hermaphrodite"", ""8 males, 4 females""",Sex,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Sex,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/dwcore/Sex-2007-04-17,,
http://rs.tdwg.org/dwc/terms/specificEpithet-2009-04-24,2008-11-19,2009-04-24,specificEpithet,The name of the first or species epithet of the scientificName.,"Examples: ""concolor"", ""gottschei""",Specific Epithet,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/SpeciesEpithet or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/FirstEpithet or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/SpeciesEpithet},http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/dwcore/SpecificEpithet-2007-04-17,,
http://rs.tdwg.org/dwc/terms/startDayOfYear-2009-04-24,2008-11-19,2009-04-24,startDayOfYear,"The earliest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).","Examples: ""1"" (=1 Jan), ""366"" (=31 Dec), ""365"" (=30 Dec in a leap year, 31 Dec in a non-leap year)",Start Day Of Year,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/DateTime/DayNumberBegin,http://rs.tdwg.org/dwc/terms/Event,,http://rs.tdwg.org/dwc/dwcore/DayOfYear-2007-04-17,,
http://rs.tdwg.org/dwc/terms/stateProvince-2009-04-24,2008-11-19,2009-04-24,stateProvince,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","Examples: ""Montana"", ""Minas Gerais"", ""Córdoba""",State Province,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= State or = Province (etc.),http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/dwcore/StateProvince-2007-04-17,,
http://rs.tdwg.org/dwc/terms/subgenus-2009-08-24,2008-11-19,2009-08-24,subgenus,The full scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion.,"Examples: ""Strobus (Pinus)"", ""Puma (Puma)"" ""Loligo (Amerigo)"", ""Hieracium subgen. Pilosella""",Subgenus,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/Subgenus,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/subgenus-2009-04-24,,
http://rs.tdwg.org/dwc/terms/taxonConceptID-2009-09-21,2009-04-24,2009-09-21,taxonConceptID,An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a taxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",Taxon Concept ID,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/identifier,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/taxonConceptID-2009-04-24,,
http://rs.tdwg.org/dwc/terms/taxonID-2009-08-24,2008-11-19,2009-08-24,taxonID,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,"Examples: ""8fa58e08-08de-4ac1-b69c-1235340b7001"", ""32567"", ""http://species.gbif.org/abies_alba_1753"", ""urn:lsid:gbif.org:usages:32567""",Taxon ID,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/identifier,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/scientificNameID-2009-07-06,,
http://rs.tdwg.org/dwc/terms/taxonomicStatus-2009-04-24,2008-11-19,2009-04-24,taxonomicStatus,"The status of the use of the scientificName as a label for a taxon. Requires taxonomic opinion to define the scope of a taxon. Rules of priority then are used to define the taxonomic status of the nomenclature contained in that scope, combined with the experts opinion. It must be linked to a specific taxonomic reference that defines the concept. Recommended best practice is to use a controlled vocabulary.","Examples: ""invalid"", ""misapplied"", ""homotypic synonym"", ""accepted""",Taxonomic Status,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,,,
http://rs.tdwg.org/dwc/terms/taxonRank-2009-09-21,2008-11-19,2009-09-21,taxonRank,The taxonomic rank of the most specific name in the scientificName. Recommended best practice is to use a controlled vocabulary.,"Examples: ""subspecies"", ""varietas"", ""forma"", ""species"", ""genus""",Taxon Rank,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/Rank,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/scientificNameRank-2009-07-06,,
http://rs.tdwg.org/dwc/terms/taxonRemarks-2009-08-24,2008-11-19,2009-08-24,taxonRemarks,Comments or notes about the taxon or name.,"Example: ""this name is a misspelling in common use""",Taxon Remarks,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/taxonRemarks-2009-04-24,,
http://rs.tdwg.org/dwc/terms/typeStatus-2014-10-23,2008-11-19,2014-10-23,typeStatus,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""holotype of Pinus abies | holotype of Picea abies"".",Type Status,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeText,http://rs.tdwg.org/dwc/terms/Identification,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,http://rs.tdwg.org/dwc/terms/typeStatus-2009-04-24,,
http://rs.tdwg.org/dwc/terms/verbatimCoordinates-2009-04-24,2008-11-19,2009-07-06,verbatimCoordinates,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Examples: ""41 05 54S 121 05 34W"", ""17T 630000 4833400""",Verbatim Coordinates,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,{DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/CoordinatesText or DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesUTM/UTMText},http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinates-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem-2009-04-24,2008-11-19,2009-07-06,verbatimCoordinateSystem,The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.,"Examples: ""decimal degrees"", ""degrees decimal minutes"", ""degrees minutes seconds"", ""UTM""",Verbatim Coordinate System,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,(partly) DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesGrid/GridCellSystem,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimDepth-2009-04-24,2008-11-19,2009-04-24,verbatimDepth,The original description of the depth below the local surface.,"Example: ""100-200 m""",Verbatim Depth,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactText,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/curatorial/VerbatimDepth-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimElevation-2009-04-24,2008-11-19,2009-04-24,verbatimElevation,"The original description of the elevation (altitude, usually above sea level) of the Location.","Example: ""100-200 m""",Verbatim Elevation,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactText,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/curatorial/VerbatimElevation-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimEventDate-2009-04-24,2008-11-19,2009-04-24,verbatimEventDate,The verbatim original representation of the date and time information for an Event.,"Examples: ""spring 1910"", ""Marzo 2002"", ""1999-03-XX"", ""17IV1934""",Verbatim EventDate,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText,http://rs.tdwg.org/dwc/terms/Event,,http://rs.tdwg.org/dwc/curatorial/VerbatimCollectingDate-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimLatitude-2009-04-24,2008-11-19,2009-07-06,verbatimLatitude,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Example: ""41 05 54.03S""",Verbatim Latitude,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/VerbatimLatitude,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/geospatial/VerbatimLatitude-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimLocality-2009-04-24,2008-11-19,2009-04-24,verbatimLocality,The original textual description of the place.,"Example: ""25 km NNE Bariloche por R. Nac. 237""",Verbatim Locality,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName,http://purl.org/dc/terms/Location,,,,
http://rs.tdwg.org/dwc/terms/verbatimLongitude-2009-04-24,2008-11-19,2009-07-06,verbatimLongitude,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Example: ""121d 10' 34"" W""",Verbatim Longitude,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/VerbatimLongitude,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/geospatial/VerbatimLongitude-2007-04-17,,
http://rs.tdwg.org/dwc/terms/verbatimSRS-2009-07-06,2009-07-06,2009-07-06,verbatimSRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".","Examples: ""EPSG:4326"", ""WGS84"", ""NAD27"", ""Campo Inchauspe"", ""European 1950"", ""Clarke 1866""",Verbatim SRS,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,not in ABCD,http://purl.org/dc/terms/Location,,,,
http://rs.tdwg.org/dwc/terms/verbatimTaxonRank-2009-09-21,2009-07-06,2009-09-21,verbatimTaxonRank,The taxonomic rank of the most specific name in the scientificName as it appears in the original record.,"Examples: ""Agamospecies"", ""sub-lesus"", ""prole"", ""apomict"", ""nothogrex"", ""sp."", ""subsp."", ""var.""",Verbatim Taxon Rank,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank-2009-07-06,,
http://rs.tdwg.org/dwc/terms/vernacularName-2009-07-06,2009-07-06,2009-07-06,vernacularName,A common or vernacular name.,"Examples: ""Andean Condor"", ""Condor Andino"", ""American Eagle"", ""Gänsegeier""",Vernacular Name,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,,,
http://rs.tdwg.org/dwc/terms/waterBody-2009-04-24,2008-11-19,2009-04-24,waterBody,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Indian Ocean"", ""Baltic Sea"", ""Hudson River""",Water Body,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= Water body,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/dwcore/WaterBody-2007-04-17,,
http://rs.tdwg.org/dwc/terms/year-2009-04-24,2008-11-19,2009-04-24,year,"The four-digit year in which the Event occurred, according to the Common Era Calendar.","Example: ""2008""",Year,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,recommended,accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,http://rs.tdwg.org/dwc/terms/Event,,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected-2003-06-17,,
http://rs.tdwg.org/dwc/terms/Event-2014-10-23,2008-11-19,2014-10-23,Event,An action that occurs at some location during some time.,Examples: A specimen collection process. A machine observation.,Event,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Gathering,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Event-2009-04-29,,
http://rs.tdwg.org/dwc/terms/FossilSpecimen-2014-10-23,2014-10-23,2014-10-23,FossilSpecimen,A preserved specimen that is a fossil.,,Fossil Specimen,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/FossileSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/FossilSpecimen-2011-10-16,,
http://rs.tdwg.org/dwc/terms/GeologicalContext-2014-10-23,2009-07-06,2014-10-23,GeologicalContext,"Geological information, such as stratigraphy, that qualifies a region or place.",Example: A lithostratigraphic layer.,Geological Context,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Gathering/Stratigraphy,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/GeologicalContext-2009-07-06,,
http://rs.tdwg.org/dwc/terms/HumanObservation-2014-10-23,2014-10-23,2014-10-23,HumanObservation,An output of a human observation process.,,Human Observation,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/HumanObservation,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/HumanObservation-2011-10-16,,
http://rs.tdwg.org/dwc/terms/Identification-2014-10-23,2008-11-19,2014-10-23,Identification,"A taxonomic determination (e.g., the assignment to a taxon).",Example: A subspecies determination of an organism.,Identification,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Identifications/Identification,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Identification-2008-11-19,,
